bleu,bertscore,bertscore_p,bertscore_r,IoU,Coverage (target words),delta,word
0.07683586771892041,0.6684021552403768,0.6478146910667419,0.6906014084815979,1.0,1.0,0,koko
0.05522397783539471,0.6603708267211914,0.6547210812568665,0.6661189794540405,1.0,1.0,0,hautoa
0.23643540225079385,0.8295345306396484,0.8226848244667053,0.8364992737770081,1.0,1.0,0,juuri
0.0765512272059122,0.7222166657447815,0.6805800795555115,0.7692797183990479,1.0,1.0,0,poistaa
0.01914603069010251,0.6898351311683655,0.6681548357009888,0.7129694819450378,1.0,1.0,0,johdatella
0.0645530827012769,0.6827879995107651,0.6812939047813416,0.684513509273529,1.0,1.0,0,aika
0.05868924818816531,0.6570894718170166,0.6597246527671814,0.6544752717018127,1.0,1.0,0,lakea
0.0,0.6691228747367859,0.6536005735397339,0.6854004859924316,1.0,1.0,0,povi
0.02627961710408444,0.6079224348068237,0.6187718510627747,0.5974469184875488,1.0,1.0,0,pois
0.03588274016436987,0.6312808990478516,0.6182637512683868,0.6450179219245911,1.0,1.0,0,johdattaa
0.06567274736060395,0.6726977229118347,0.6618207693099976,0.6839381456375122,1.0,1.0,0,hakija
0.044464145693381016,0.6724744588136673,0.6595668345689774,0.6861140877008438,1.0,1.0,0,langeta
0.08745825313180626,0.6628913879394531,0.7149953842163086,0.6178655624389648,1.0,1.0,0,nimin-omattain
0.4111336169005198,0.8495916128158569,0.8208877444267273,0.8803755044937134,1.0,1.0,0,kumartaa
0.06567274736060395,0.7380822896957397,0.7214688062667847,0.7554788589477539,1.0,1.0,0,hempeä
0.0,0.6095373630523682,0.5879542231559753,0.6327654719352722,1.0,1.0,0,piispa
0.030890553181566974,0.6750951409339905,0.6446980237960815,0.7085005044937134,1.0,1.0,0,hitaus
0.033864985683445356,0.6415122151374817,0.6250697374343872,0.6588430404663086,1.0,1.0,0,oppinut
0.07253154775624654,0.7145612239837646,0.7451595067977905,0.6863768100738525,1.0,1.0,0,mätäneminen
0.03747776736677921,0.6256477236747742,0.6253487467765808,0.6259469389915466,1.0,1.0,0,leiri
0.0,0.6307867169380188,0.619658887386322,0.6423215866088867,1.0,1.0,0,halkaista
0.05522397783539471,0.6135385036468506,0.6250351667404175,0.6024571657180786,1.0,1.0,0,pois-leikata
0.02719665272174911,0.666621744632721,0.6694694757461548,0.6637980937957764,1.0,1.0,0,osoitella
0.05042566527393781,0.6598121285438537,0.6560549736022949,0.6645782470703125,1.0,1.0,0,määrä
0.05073552004225951,0.6639763712882996,0.678571343421936,0.6499959230422974,1.0,1.0,0,lähemmä
0.009573015345051256,0.6437219083309174,0.5920220017433167,0.7079404592514038,1.0,1.0,0,oma
0.1597357760615681,0.6408094763755798,0.6250834465026855,0.6573472023010254,1.0,1.0,0,meri
0.05884634760532682,0.7406275272369385,0.7444010376930237,0.7373238404591879,1.0,1.0,0,perään-katsominen
0.09652434877402244,0.780775249004364,0.7534204721450806,0.8101910948753357,1.0,1.0,0,osattaa
0.04767707020457095,0.5744642615318298,0.5682660937309265,0.5807991623878479,1.0,1.0,0,levitellä
0.0,0.6118535995483398,0.6038834452629089,0.6200370788574219,1.0,1.0,0,kuuluttaa
0.07063608230761216,0.6772400736808777,0.6581639647483826,0.697906494140625,1.0,1.0,0,gradi
0.027611988917697356,0.6172138452529907,0.6094091534614563,0.6253710389137268,1.0,1.0,0,markka
0.03089055318156698,0.6326888203620911,0.5774432420730591,0.7004229724407196,1.0,1.0,0,marssia
0.04378183157373597,0.6627476215362549,0.6477568944295248,0.6812146107355753,1.0,1.0,0,mainio
0.027611988917697356,0.6536897420883179,0.6363487839698792,0.6720519065856934,1.0,1.0,0,kiertää
0.02098057453148274,0.709948867559433,0.6931306421756744,0.7278458178043365,1.0,1.0,0,kohta
0.028398387225677894,0.6694439053535461,0.6557817459106445,0.6836873292922974,1.0,1.0,0,ajaa
0.05061296462967139,0.6482867896556854,0.649217814207077,0.6489326059818268,1.0,1.0,0,pivo
0.0,0.7412621378898621,0.7510026693344116,0.7317709922790527,1.0,1.0,0,matka
0.0,0.6124788522720337,0.6281567811965942,0.5975644588470459,1.0,1.0,0,marakatti
0.13134549472120788,0.8330461382865906,0.8227265477180481,0.8436280488967896,1.0,1.0,0,likempää
0.0,0.65833979845047,0.6435002088546753,0.6738799810409546,1.0,1.0,0,miekka
0.0,0.5798786878585815,0.5650527477264404,0.595503568649292,1.0,1.0,0,kumpikin
0.0,0.6466234028339386,0.6282939314842224,0.6660826206207275,1.0,1.0,0,puhallus
0.032836373680301977,0.6862807273864746,0.6587308049201965,0.7185575664043427,1.0,1.0,0,paiste
0.09535414040914192,0.7307363748550415,0.715718150138855,0.7463983297348022,1.0,1.0,0,irtainen
